-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,460,-1,-1,-1,-1,460,460,-1,-1,460,460,460,460,-1,-1,-1
-1,460,-1,460,460,460,460,-1,-1,460,460,-1,-1,-1,-1,460,-1,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,460,-1,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,-1,-1,460,460,460,-1,460,-1,-1
-1,460,-1,460,460,460,460,-1,-1,-1,-1,-1,-1,-1,-1,460,-1,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,460,460,460,-1,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,460,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,460,-1
-1,460,-1,460,460,460,460,-1,-1,-1,460,-1,-1,-1,-1,-1,460,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,460,460,460,-1,460,460,460,-1,-1
-1,460,-1,-1,-1,-1,-1,-1,-1,-1,460,-1,-1,-1,-1,460,-1,-1
-1,-1,460,460,460,460,460,460,460,460,-1,460,460,460,460,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
